ex;perhidro;mes;Local;ano;hora;num;sp;CP;peso;Sexo;EstMat;Gordura;pesoevis;Categoria; anom.min ;anom.max;anom.cheia;anom.seca;hidro.min;hidro.max;dur_cheia;dur_seca;estomago;gr
110;seca;nov/09;Lago do Padre;11;D;60694;Acestrorhynchus falcirostris;25.3;143.06;F;6;2;132.05;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;D;60695;Acestrorhynchus falcirostris;24.8;135.04;M;NA;2;125.08;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;D;60696;Acestrorhynchus falcirostris;16.5;38.01;F;6;2;35.07;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;D;60704;Serrasalmus maculatus;14.9;140.06;M;NA;3;126.02;mutilador ;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;1;NA
110;seca;nov/09;Lago do Padre;11;D;60705;Pygocentrus nattereri;11.2;59.00 ;M;NA;1;51.04;mutilador ;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;1;NA
110;seca;nov/09;Lago do Padre;11;D;60706;Pygocentrus nattereri;16.0 ;197.06;M;NA;2;180.0 ;mutilador ;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;D;60707;Serrasalmus sp.n. robertsonii;13.00;71.08;F;2;2;64.07;mutilador ;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;1;NA
110;seca;nov/09;Lago do Padre;11;D;60708;Serrasalmus sp.n. robertsonii;10.5;39.00 ;F;1;2;35.06;mutilador ;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;1;NA
110;seca;nov/09;Lago do Padre;11;N;60820;Acestrorhynchus falcirostris;24.5;129.3;F;2;0;121.25;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;N;60821;Acestrorhynchus falcirostris;23.4;127.7;F;2;2;117.05;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;N;60822;Acestrorhynchus falcirostris;22.6;106.6;F;2;2;97.51;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;N;60823;Acestrorhynchus falcirostris;23.4;118.8;F;2;2;111.23;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
